Min,Sec,kermit_video,kermit_audio,ws_video,ws_audio
0,0,0,,,
0,1,0,,,
0,2,0,,,
0,3,0,,,
0,4,0,,,
0,5,0,,,
0,6,0,,,
0,7,0,,,
0,8,0,,,
0,9,0,,,
0,10,0,,,
0,11,0,,,
0,12,0,,,
0,13,0,,,
0,14,0,,,
0,15,0,,,
0,16,0,,,
0,17,0,,,
0,18,0,,,
0,19,0,,,
0,20,0,,,
0,21,0,,,
0,22,0,,,
0,23,0,,,
0,24,0,,,
0,25,0,,,
0,26,0,,,
0,27,0,,,
0,28,0,,,
0,29,0,,,
0,30,0,,,
0,31,0,,,
0,32,0,,,
0,33,1,1,,
0,34,1,1,,
0,35,1,1,,
0,36,1,1,,
0,37,1,1,,
0,38,1,1,,
0,39,1,1,,
0,40,1,,,
0,41,1,,,
0,42,1,,,
0,43,0,,,
0,44,,,,
0,45,,,,
0,46,,,,
0,47,,,,
0,48,,,,
0,49,,,,
0,50,,,,
0,51,,,,
0,52,,,,
0,53,,,,
0,54,,,,
0,55,,,,
0,56,,,,
0,57,,,,
0,58,,,,
0,59,,,,
1,0,,,,
1,1,,,,
1,2,,,,
1,3,,,,
1,4,,,,
1,5,,,,
1,6,,,,
1,7,,,1,1
1,8,,,1,1
1,9,1,1,1,1
1,10,1,,,
1,11,1,,,
1,12,1,,,
1,13,1,,,
1,14,1,,,
1,15,1,,,
1,16,1,,,
1,17,1,,,
1,18,1,,,
1,19,0,,,
1,20,1,,,
1,21,,,,
1,22,,,,
1,23,,,,
1,24,,,,
1,25,,,,
1,26,,,,
1,27,,,,
1,28,,,,
1,29,,,,
1,30,1,,,
1,31,1,1,,
1,32,1,1,,
1,33,1,1,,
1,34,1,1,,
1,35,1,1,,
1,36,1,1,,
1,37,1,1,,
1,38,1,1,,
1,39,1,1,,
1,40,1,1,,
1,41,1,1,,
1,42,1,1,,
1,43,1,1,,
1,44,1,,,
1,45,1,,,
1,46,1,,,
1,47,1,,,
1,48,1,,,
1,49,1,,,
1,50,1,1,,
1,51,1,1,,
1,52,1,1,,
1,53,1,1,,
1,54,1,1,,
1,55,1,1,,
1,56,1,1,,
1,57,1,1,,
1,58,1,1,,
1,59,1,1,,
2,0,1,,,
2,1,1,,,
2,2,1,1,,
2,3,1,1,,
2,4,1,1,,
2,5,1,1,,
2,6,1,1,,
2,7,1,,,
2,8,1,,,
2,9,1,1,,
2,10,1,1,,
2,11,1,1,,
2,12,1,1,,
2,13,1,1,,
2,14,1,,,
2,15,,,,
2,16,,,,
2,17,,,,
2,18,,,,
2,19,,,,
2,20,,,,
2,21,,,,
2,22,,,,
2,23,,,,
2,24,,,,
2,25,,,,
2,26,,,,
2,27,,,,
2,28,,,,
2,29,,,,
2,30,,,,
2,31,,,,
2,32,,,,
2,33,,,,
2,34,,,,
2,35,,,,
2,36,,,,
2,37,,,,
2,38,,,,
2,39,,,,
2,40,,,,
2,41,,,,
2,42,,,,
2,43,,,,
2,44,,,,
2,45,,,,
2,46,,,,
2,47,,,,
2,48,,,,
2,49,,,,
2,50,,,,
2,51,,,,
2,52,,,,
2,53,,,,
2,54,,,,
2,55,,,,
2,56,,,,
2,57,,,,
2,58,,,,
2,59,,,,
3,0,,,,
3,1,,,,
3,2,,,,
3,3,,,,
3,4,,,,
3,5,,,,
3,6,,,,
3,7,,,,
3,8,,,,
3,9,,,,
3,10,,,,
3,11,,,,
3,12,,,,
3,13,,,,
3,14,,,,
3,15,,,,
3,16,,,,
3,17,,,,
3,18,,,,
3,19,,,,
3,20,,,,
3,21,,,,
3,22,,,,
3,23,,,,
3,24,,,,
3,25,,,,
3,26,,,,
3,27,,,,
3,28,,,,
3,29,,,,
3,30,,,,
3,31,,,,
3,32,,,,
3,33,,,,
3,34,,,,
3,35,,,,
3,36,,,,
3,37,,,,
3,38,,,,
3,39,,,,
3,40,,,,
3,41,,,,
3,42,,,,
3,43,,,,
3,44,,,,
3,45,,,,
3,46,,,,
3,47,,,,
3,48,,,,
3,49,,,,
3,50,,,,
3,51,,,,
3,52,,,,
3,53,,,1,
3,54,,,1,1
3,55,,,1,1
3,56,,,1,1
3,57,,,1,1
3,58,,,1,1
3,59,,,1,1
4,0,,,1,1
4,1,,,1,
4,2,1,,,
4,3,1,1,,
4,4,1,1,,
4,5,1,1,,
4,6,1,1,,
4,7,1,1,,
4,8,1,1,,
4,9,1,1,,
4,10,1,1,,
4,11,1,1,,
4,12,1,1,,
4,13,1,1,,
4,14,1,1,,
4,15,,,,
4,16,,,,
4,17,,,,
4,18,,,,
4,19,,,,
4,20,,,,
4,21,,,,
4,22,,,,
4,23,,,,
4,24,,,,
4,25,,,,
4,26,,,,
4,27,,,,
4,28,,,,
4,29,,,,
4,30,,,,
4,31,,,,
4,32,,,,
4,33,,,,
4,34,,,,
4,35,,,,
4,36,,,,
4,37,,,,
4,38,,,,
4,39,,,,
4,40,,,,
4,41,,,,
4,42,,,,
4,43,,,,
4,44,,,,
4,45,,,,
4,46,,,,
4,47,,,,
4,48,,,,
4,49,,,,
4,50,,,,
4,51,,,,
4,52,,,,
4,53,1,,,
4,54,1,1,,
4,55,1,1,,
4,56,1,1,,
4,57,1,1,,
4,58,1,1,,
4,59,1,1,,
5,0,1,1,,
5,1,1,1,,
5,2,1,,,
5,3,,,,
5,4,,,,
5,5,,,,
5,6,,,,
5,7,,,,
5,8,,,1,1
5,9,,,1,1
5,10,,,1,1
5,11,,,1,1
5,12,,,1,1
5,13,,,1,1
5,14,,,1,1
5,15,,,,
5,16,,,,
5,17,,,,
5,18,,,,
5,19,,,,
5,20,,,,
5,21,,,,
5,22,,,,
5,23,,,,
5,24,,,,
5,25,,,,
5,26,,,,
5,27,,,,
5,28,,,,
5,29,,,,
5,30,,,,
5,31,,,,
5,32,1,,,
5,33,1,1,,
5,34,1,1,,
5,35,1,0,,
5,36,1,1,,
5,37,1,1,,
5,38,1,,,
5,39,,,,
5,40,,,,
5,41,,,,
5,42,1,,,
5,43,1,,,
5,44,1,1,,
5,45,1,1,,
5,46,1,,,
5,47,1,,,
5,48,1,1,,
5,49,1,,,
5,50,1,,,
5,51,1,,,
5,52,1,,,
5,53,1,,,
5,54,1,,,
5,55,1,,,
5,56,1,,,
5,57,1,,,
5,58,1,,,
5,59,1,,,
6,0,1,1,,
6,1,1,1,,
6,2,1,1,,
6,3,1,,,
6,4,1,,,
6,5,1,,,
6,6,1,,,
6,7,1,,,
6,8,1,1,,
6,9,1,,,
6,10,1,,,
6,11,1,,,
6,12,1,,,
6,13,1,,,
6,14,1,,,
6,15,1,1,,
6,16,1,,,
6,17,1,,,
6,18,1,,,
6,19,1,,,
6,20,1,,,
6,21,1,,,
6,22,1,,,
6,23,1,1,,
6,24,1,1,,
6,25,1,,,
6,26,,,,
6,27,,,,
6,28,,,,
6,29,,,,
6,30,,,,
6,31,1,,,
6,32,1,,,
6,33,1,,,
6,34,1,,,
6,35,1,,,
6,36,1,,,
6,37,,,,
6,38,,,,
6,39,,,,
6,40,,,,
6,41,,,,
6,42,,,,
6,43,,,,
6,44,,,,
6,45,,,,
6,46,,,,
6,47,,,,
6,48,,,,
6,49,,,,
6,50,,,,
6,51,,,,
6,52,,,,
6,53,,,,
6,54,,,,
6,55,,,,
6,56,,,,
6,57,,,,
6,58,,,,
6,59,,,,
7,0,,,,
7,1,,,,
7,2,,,,
7,3,,,,
7,4,,,,
7,5,,,,
7,6,,,,
